shopId,shopName,shop_location,shop_rating,shop_response_rate,shop_response_time,shop_follower_count,shop_item_count,shop_rating_good,shop_rating_normal,shop_rating_bad,is_official_shop,is_shopee_verified,positive_rating_pct,response_time_bucket,listing_count,avg_price_twd,avg_discount_pct,avg_product_rating,total_ratings,total_comments,total_likes,free_shipping_count,discounted_count,shopee_fulfilled_count,avg_models_count,free_shipping_rate,discount_rate,shopee_fulfilled_rate,total_engagement_score,shop_tier,follower_tier
1519152953,✨✨✨StarDesign✨✨✨電子手帳·字型·平面設計·軟體教學,桃園市蘆竹區,4.971900939941406,98.0,5571,334,4943,620,3,0,false,false,99.52,2. 1-6 hours,1,200.0,0.0,0.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,3. Established,3. 100-999
1519305296,大雄選物 百貨批發,桃園市蘆竹區,4.8524169921875,93.0,6741,1160,4966,3835,84,49,false,false,96.65,2. 1-6 hours,4,384.75,39.75,0.0,0,0,0,0,4,0,14.0,0.0,100.0,0.0,0,2. Power Seller,"2. 1,000-9.999"
1520000663,樂活匠心館,桃園市蘆竹區,4.8333330154418945,57.0,0,39,0,213,1,5,false,false,97.26,1. Under 1 hour,1,44.0,0.0,0.0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,3. Established,4. < 100
1520014185,JM球衣代購,桃園市蘆竹區,4.956337928771973,98.0,2701,1004,129,741,7,1,false,false,98.93,1. Under 1 hour,1,1180.0,41.0,4.75,4,4,9,0,1,0,75.0,0.0,100.0,0.0,17,2. Power Seller,"2. 1,000-9.999"
1520077032,【小貓電玩】,高雄市前鎮區,4.971442222595215,99.0,1774,1185,3370,5073,23,9,false,false,99.37,1. Under 1 hour,3,436.67,0.0,0.0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0,2. Power Seller,"2. 1,000-9.999"
1520952695,車友車行百寶閣,桃園市大園區,4.841911792755127,92.0,11610,142,977,283,8,5,false,false,95.61,2. 1-6 hours,1,994.0,2.0,5.0,2,2,2,0,1,0,16.0,0.0,100.0,0.0,6,3. Established,3. 100-999
1521225156,收納製造店-收納，不只是空間，更是生活的溫度。,桃園市中壢區,4.910094261169434,73.0,9864,7761,543,30603,508,165,false,false,97.85,2. 1-6 hours,4,91.25,63.75,4.96,97,97,83,0,4,0,5.3,0.0,100.0,0.0,277,2. Power Seller,"2. 1,000-9.999"
1521365733,e7v0utianyunoy.tw,海外,5.0,57.0,0,2,152,3,0,0,false,false,100.0,1. Under 1 hour,1,115.0,0.0,0.0,0,0,0,0,0,0,10.0,0.0,0.0,0.0,0,3. Established,4. < 100
1522382977,沅均水族【台南實體店面】 Yuan Jun Aquarium,,4.987178802490234,93.0,4007,59,404,81,0,0,false,true,100.0,2. 1-6 hours,1,245.0,2.0,0.0,0,0,0,0,1,0,3.0,0.0,100.0,0.0,0,3. Established,4. < 100
1522529001,琳琅家居百貨,新北市鶯歌區,4.918749809265137,,0,48,127,162,2,0,false,false,98.78,1. Under 1 hour,1,24.0,50.0,0.0,0,0,0,0,1,0,1.0,0.0,100.0,0.0,0,3. Established,4. < 100
1522833118,力拓園林工具,桃園市蘆竹區,5.0,87.0,7591,4786,2782,241,0,0,false,false,100.0,2. 1-6 hours,3,3405.33,32.67,0.0,0,0,0,0,3,0,20.3,0.0,100.0,0.0,0,2. Power Seller,"2. 1,000-9.999"
